#uname,sym,seq,y,m,d,rev,inc
,,8,,,5,,
,,9,,,6,,
,,10,,,7,,
,phg,1,,,8,,
,,2,,,9,,
,,3,,,10,,
#,,,,,,,
gride,hmc3,8,2022,9,1,,
,,9,,,2,,
,,10,,,3,,
,,11,,,4,,
,pha1h,1,,,5,,
,,2,,,6,,
,,3,,,7,,
,,4,,,8,,
,,5,,,9,,
,,6,,,10,,
#,,,,,,,
dork,dah,5,2022,9,1,x,
,,9,,,2,,x
,phg,1,,,3,,
,,2,,,4,,
,,3,,,5,,
,,4,,,6,,
,,5,,,7,,
,,6,,,8,,
,,7,,,9,,
,,8,,,10,,
,,9,,,11,,
#,,,,,,,
fur,s,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
#,,,,,,,
wesrey,pha1,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
#,,,,,,,
rory,pha1,7,2022,9,1,,x
,,8,,,2,,
,,9,,,3,,
,,10,,,4,,
,phg,1,,,5,,
,,2,,,6,,
,,3,,,7,,
,,4,,,8,,
,,5,,,9,,
,,6,,,10,,
,,7,,,11,,
#,,,,,,,
sandy,phgh,10,2022,9,1,,
,,11,,,2,,
,,12,,,3,,
,pha2h,1,,,4,,
,,2,,,5,,
,,3,,,6,,
,,4,,,7,,
,,5,,,8,,
,,6,,,9,,
,,7,,,10,,
,,8,,,11,,
#,,,,,,,
dandy,msg,6,2022,9,1,,
,,7,,,2,,
,,8,,,3,,
,,9,,,4,,
,,10,,,5,,
,msa2,1,,,6,,
,,2,,,7,,
,,3,,,8,,
,,4,,,9,,
,,5,,,10,,
#,,,,,,,
mser,pha2,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
,,11,,,11,,
#,,,,,,,
ab,pha1,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
#,,,,,,,
mm,pch,1,2022,9,1,,
,,2,,,2,,
,,3,,,3,,
,,4,,,4,,
,,5,,,5,,
,,6,,,6,,
,,7,,,7,,
,,8,,,8,,
,,9,,,9,,
,,10,,,10,,
#,,,,,,,
wed,pha1,6,2022,9,1,,
,,7,,,2,,
,,8,,,3,,
,phg,8,,,4,,
,,10,,,5,,
,pha2,1,,,6,,
,,2,,,7,,
,,3,,,8,,
,,4,,,9,,
,,5,,,10,,
,,6,,,11,,
,,7,,,12,,
